[2019-11-17 11:38:13.870323] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.870470] [info] Nothing to save: 
[2019-11-17 11:39:11.166976] [info] Loading certificate content...
[2019-11-17 11:39:11.167347] [debug] Certificate content loaded!
[2019-11-17 11:39:11.170404] [debug] Xero config loaded!
[2019-11-17 11:39:12.018168] [info] Xero data retrieved!
[2019-11-17 11:39:12.020003] [debug] Received data count: 58
[2019-11-17 11:39:12.020237] [debug] Original entry field count: 16
[2019-11-17 11:39:12.020385] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.020518] [debug] Original entry field count: 16
[2019-11-17 11:39:12.020736] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.020878] [debug] Original entry field count: 15
[2019-11-17 11:39:12.021018] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.021203] [debug] Original entry field count: 14
[2019-11-17 11:39:12.021333] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.021528] [debug] Original entry field count: 14
[2019-11-17 11:39:12.021665] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.021850] [debug] Original entry field count: 14
[2019-11-17 11:39:12.021989] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.022150] [debug] Original entry field count: 14
[2019-11-17 11:39:12.022311] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.022444] [debug] Original entry field count: 14
[2019-11-17 11:39:12.022629] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.022758] [debug] Original entry field count: 14
[2019-11-17 11:39:12.022949] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.023082] [debug] Original entry field count: 14
[2019-11-17 11:39:12.023284] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.023431] [debug] Original entry field count: 14
[2019-11-17 11:39:12.023621] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.023838] [debug] Original entry field count: 14
[2019-11-17 11:39:12.023971] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.024161] [debug] Original entry field count: 14
[2019-11-17 11:39:12.024291] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.024482] [debug] Original entry field count: 14
[2019-11-17 11:39:12.024616] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.024758] [debug] Original entry field count: 14
[2019-11-17 11:39:12.024885] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.025008] [debug] Original entry field count: 14
[2019-11-17 11:39:12.025201] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.025393] [debug] Original entry field count: 14
[2019-11-17 11:39:12.025527] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.025651] [debug] Original entry field count: 14
[2019-11-17 11:39:12.025778] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.025897] [debug] Original entry field count: 14
[2019-11-17 11:39:12.026021] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.026144] [debug] Original entry field count: 14
[2019-11-17 11:39:12.026268] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.026391] [debug] Original entry field count: 14
[2019-11-17 11:39:12.026516] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.026642] [debug] Original entry field count: 14
[2019-11-17 11:39:12.026768] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.026891] [debug] Original entry field count: 14
[2019-11-17 11:39:12.027013] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.027138] [debug] Original entry field count: 14
[2019-11-17 11:39:12.027264] [debug] Cleaned entry field count: 7
